 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
26873AlbatrosNAPoolsamont6008134533320	28/07/1973	Albatros	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
26880ChateauNARapidesavalhallfusee5928534533551	04/08/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26882ChateauNAAval?5964024532499	06/08/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26882ChateauNAGrandcoude5960034534052	06/08/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
26882ChateauNAGrandvirageaval5955134533372	06/08/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26910NorvegienneP12+13Pools12et13.exPools11et125970744534632	03/09/1973	Norvegienne	240	NA	NA	NA	NA	NA	NA	NA	NA	5
26910NorvegienneP4+5Pool4+Pool5=exPool4.audessusdupiegeetendessouslimiteavalsecteur25972624533865	03/09/1973	Norvegienne	296	NA	NA	NA	NA	NA	NA	NA	NA	1
26910NorvegienneP9+10+11Pools9.10et11.exPoolsetrapides8-9-105972594534666	03/09/1973	Norvegienne	393	NA	NA	NA	NA	NA	NA	NA	NA	4
26911Norvegienne1Secteuraval.secteur15971604533755	04/09/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
26911NorvegienneP2Pool25973134533662	04/09/1973	Norvegienne	93	NA	NA	NA	NA	NA	NA	NA	NA	1
26911NorvegienneP3Pool35973494533786	04/09/1973	Norvegienne	181	NA	NA	NA	NA	NA	NA	NA	NA	4
26911NorvegienneP4+5Pool4+Pool5=exPool4.audessusdupiegeetendessouslimiteavalsecteur25972624533865	04/09/1973	Norvegienne	296	NA	NA	NA	NA	NA	NA	NA	NA	10
26911NorvegienneP6+7Pools6et7.exPoolsetcourants5et65973224534096	04/09/1973	Norvegienne	292	NA	NA	NA	NA	NA	NA	NA	NA	18
26911NorvegienneP7Pool7.exPool65972874534181	04/09/1973	Norvegienne	241	NA	NA	NA	NA	NA	NA	NA	NA	2
26911NorvegienneP8Pool8.exPool75972574534387	04/09/1973	Norvegienne	418	NA	NA	NA	NA	NA	NA	NA	NA	4
